item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q106730305,Johnson Tuke,,,,,,false,,,,
Q107400069,Wesley Raminai,,,,,,false,,,,
Q109045965,Tomait Kapili,,,,,,false,,,,
Q112729047,Henry Amuli,,,,,,false,,,,
Q113172045,Saki Soloma,,,,,,false,,,,
Q113499830,Kessy Sawang,NormalRank,Q3711402,Rai Coast District,true,true,true,false,false,true,true
Q113575855,Joseph Watawi,,,,,,false,,,,
Q113833332,Aiye Tambua,,,,,,false,,,,
Q113838856,Kerenga Kua,,,,,,false,,,,
Q113840416,Pogio Ghate,,,,,,false,,,,
Q114497171,Jason Peter,,,,,,false,,,,
Q114497404,Salio Waipo,,,,,,false,,,,
Q114497727,Simon Kilepa,,,,,,false,,,,
Q114498141,Peter Tsiamalili Jnr,,,,,,false,,,,
Q1239419,Don Polye,NormalRank,Q862584,Enga Province,true,true,true,false,false,true,true
Q1312080,John Momis,NormalRank,Q611718,Salamaua,true,true,true,false,false,false,true
Q1381425,Mekere Morauta,NormalRank,Q691,Papua New Guinea,true,false,true,false,false,false,true
Q1385996,Ezekiel Massat,,,,,,false,,,,
Q1631900,Allan Savenat Mesak Marat,,,,,,false,,,,
Q1686476,Jeffrey Nape,,,,,,false,,,,
Q1707366,Joseph Kabui,NormalRank,Q201766,Bougainville Island,true,true,true,false,false,false,true
Q17318820,Rimbink Pato,NormalRank,Q17059190,Wapenamanda District,true,true,true,false,false,true,true
Q17318841,John Pundari,,,,,,false,,,,
Q19630347,Douglas Tomuriesa,,,,,,false,,,,
Q2003366,Rabbie Namaliu,NormalRank,Q753702,East New Britain Province,true,true,true,false,false,false,true
Q2007264,Paias Wingti,,,,,,false,,,,
Q2117670,Puka Temu,,,,,,false,,,,
Q24053597,William Tongamp,,,,,,false,,,,
Q25553147,Sasindran Muthuvel,,,,,,false,,,,
Q27975449,Charles Kauvu Abel,,,,,,false,,,,
Q28086377,Paru Aihi,,,,,,false,,,,
Q28647870,Bob Dadae,NormalRank,Q3711017,Kabwum District,true,true,true,false,false,true,true
Q28911703,Robert Atiyafa,,,,,,false,,,,
Q28911869,Benny Allan,,,,,,false,,,,
Q28962940,Roy Biyama,,,,,,false,,,,
Q28966596,Samuel Basil,,,,,,false,,,,
Q28967536,Peter Ipatas,,,,,,false,,,,
Q28967857,Jeffery Komal,,,,,,false,,,,
