who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
71248519,Q6597957,Speaker of the National Parliament of Papua New Guinea,2017-08-02,,Q5362021,Theo Zurenuoc,,,0
71248519,,Fisheries Minister,2011,2012,,,,,1
71248519,,Inter-Government Relations Minister,2007,2011,,,,,2
71248519,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,2017,,Ronny Knight,Ronny Knight,,,3
71248519,,,2007,2012,Q29025022,Charlie Benjamin,Ronny Knight,Ronny Knight,4
