who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
60990568,,Minister for Inter-Government Relations,2019-06-07,,,,,,0
60990568,,"Minister for Higher Education, Research, Science and Technology",2017-08-09,2019-05-31,,,,Pila Niningi,1
60990568,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,2017,,,,,,2
60990568,,Minister for Public Services,1998-10-21,1998-10-28,,,,,3
60990568,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,1997,1998-10-28,Peter Peipul,Peter Peipul,Peter Peipul,Peter Peipul,4
