who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
57775323,,,,,,,,,0
57775323,,Minister for Labour and Immigration,2022-08-23,30 September 2022 (suspended),,,,,1
57775323,,Minister for Immigration and Citizenship,2022-04-13,2022-08-10,Westley Nukundj,Westley Nukundj,,,2
57775323,,Minister for Justice,2020-12-21,2022-04-12,Q64740152,Davis Steven,,,3
57775323,,Minister for Police,2019-06-07,2020-12-20,Q89992188,Jelta Wong,,,4
57775323,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,2017-08,30 September 2022 (suspended),Nixon Duban,Nixon Duban,,,5
