who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
13321722,,Prime Minister of Papua New Guinea,2019-05-30,,Q57892,Peter O'Neill,,,0
13321722,Minister of Finance of Papua New Guinea,Minister of Finance,2012-08,2019-04-11,Q57892,Peter O'Neill,Q28966596,Sam Basil,1
13321722,,Minister for Education,2008-12-16,2011-08-02,,,,,2
13321722,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,2007,,Tom Tomiape,Tom Tomiape,,,3
