who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
60898536,,Minister for International Trade and Investment,2022-08-24,,,,,,0
60898536,Minister of Finance of Papua New Guinea,Minister for Finance and Rural Development,2019-05-13,2019-06-07,Q28966596,Sam Basil,Q27975449,Charles Abel,1
60898536,,Minister for National Planning and Monitoring,2017,2019-05-13,,,,,2
60898536,,,2019-06-07,2019-08-27,,,,,3
60898536,,"Minister for Trade, Commerce and Industry",2012,2017,,,,,4
60898536,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,2012,,,,,,5
