who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
70967168,,MP for Gazelle Open,,,,,,,0
70967168,National Parliament of Papua New Guinea,National Parliament of Papua New Guinea,2017,,,,,,1
70967168,,Minister for Health & HIV/AIDS,2020-12-20,,,,,,2
70967168,,Minister for Civil Aviation,2020-10-01,2020-12-19,,,,,3
70967168,,caretaker Minister for State Enterprises,2020-11-16,2020-12-19,,,,,4
70967168,,Minister for Health & HIV/AIDS,2019-11-08,2020-09-30,,,,,5
70967168,,Minister for Police,2017-08,2019-04,,,,,6
