who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
60982697,Minister of Foreign Affairs (Papua New Guinea),Minister for Foreign Affairs and Trade,2020-12-20,2022-08-23,Q35553617,Patrick Pruaitch,Q85991458,Justin Tkatchenko,0
60982697,,,2019-06-07,2019-11-08,Q17318820,Rimbink Pato,,Patrick Pruaitch,1
60982697,,"Minister for Community Development, Youth and Religion",2017-08-09,2019-05-31,,,,,2
60982697,National Parliament of Papua New Guinea,Member of the National Parliament of Papua New Guinea,2017,,,,,,3
