item,itemLabel,position,positionLabel,startDate,endDate
Q6138903,James Marape,,Prime Minister,,
Q6138903,James Marape,,Minister for Bougainville Affairs,,
Q28966596,Sam Basil,,Deputy Prime Minister,,
Q28966596,Sam Basil,,Minister for Commerce and Industry,,
Q56043281,Bryan Jared Kramer,,Minister for Justice,,
Q5959129,Ian Ling-Stuckey,,Minister for Treasury,,
Q64747295,Soroi Eoe,,Minister for Foreign Affairs and Trade,,
Q17318841,John Pundari,,Minister for Finance,,
Q17318841,John Pundari,,Minister for Rural Development,,
,Jimmy Uguro,,Minister for Education,,
,Sekie Agisa,,Minister for Civil Aviation,,
Q29650223,Timothy Masiu,,Minister for Communication and ICT,,
Q7960737,Wake Goi,,Minister for Community Development,,
Q7960737,Wake Goi,,Minister for Youth,,
Q7960737,Wake Goi,,Minister for Religion,,
,Win Daki,,Minister for Correctional Services,,
,Solan Mirisim,,Minister for Defence,,
,Wera Mori,,"Minister for Environment, Conservation and Climate Change",,
,Lino Tom,,Minister for Fisheries and Marine Resources,,
Q89992188,Jelta Wong,,Minister for Health and HIV/AIDS,,
,Wesley Raminai,,Minister for Higher Education,,
,Wesley Raminai,,Minister for Research,,
,Wesley Raminai,,Minister for Science and Technology,,
,Wesley Raminai,,Minister for Sports and National Gaming,,
Q85991458,Justin Tkatchenko,,Minister for Housing and Urban Development,,
,Westly Nukundj,,Minister for Immigration and Border Security,,
Q64495984,Pila Niningi,,Minister for Inter-Government Relations,,
,Tomait Kapili,,Minister for Labour and Employment,,
,John Simon,,Minister for Agriculture and Livestock,,
,John Rosso,,Minister for Lands and Physical Planning,,
,Kerenga Kua,,Minister for Petroleum,,
,William Onglo,,Minister for Police,,
,William Duma,,Minister for State Enterprises,,
,Joe Sungi,,Minister for Public Service,,
,Isi Henry Leonard,,"Minister for Tourism, Arts and Culture",,
Q96056567,William Samb,,Minister for Transport and Infrastructure,,
Q6833018,Michael Nali,,Minister for Works and Implementation,,
Q35498105,Walter Schnaubelt,,Minister for Forestry,,
,Saki Soloma,,Minister for Energy,,
,Johnson Tuke,,Minister for Mining,,
