item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q106730305,Johnson Tuke,Q114496207,Minister for Mining,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q106730305-6F371B39-2250-4C85-A780-C2F0046FA30F
Q107400069,Wesley Raminai,Q114496215,Minister for Science and Technology,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q107400069-252A0D15-8F9E-43F8-B0A9-CCE439DE9043
Q107400069,Wesley Raminai,Q114496200,Minister for Higher Education,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q107400069-4D86D59A-E2F4-4DBE-9B25-C32B1E082B1A
Q107400069,Wesley Raminai,Q114496216,Minister for Sports and National Gaming,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q107400069-5019EB52-BF32-473B-9656-C0DFAA193DBF
Q107400069,Wesley Raminai,Q114496212,Minister for Research,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q107400069-52D7866E-711B-4A9B-A7D9-6112D770FE97
Q109045965,Tomait Kapili,Q114496205,Minister for Labour and Employment,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q109045965-85E5BA7B-E943-492D-B4CA-00CD1B7F57AC
Q112729047,Henry Amuli,Q114496190,Minister for Commerce and Industry,2022-04,,,Q112729047-707ed653-441c-0a8c-0a1a-b79e864f3945
Q113172045,Saki Soloma,Q114496195,Minister for Energy,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q113172045-31051A09-4AD8-462B-A316-D9ECD60B3BB5
Q113838856,Kerenga Kua,Q114496208,Minister for Petroleum,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q113838856-5DDAD20B-16A2-4690-ADDF-5434F7FB8C1E
Q17318841,John Pundari,Q113575677,Minister for Finance,2020-12-20,,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q17318841-3D900A78-983D-4FD9-883A-CA83646EC2F2
Q17318841,John Pundari,Q114496214,Minister for Rural Development,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q17318841-82B39955-60AA-49EC-A65F-92B26F162B7F
Q28966596,Sam Basil,Q114496190,Minister for Commerce and Industry,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q28966596-3C5102D3-9D04-49F3-9120-50138D870E78
Q28966596,Sam Basil,Q114496185,Deputy Prime Minister,2020-10-01,2022-05-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q28966596-78CD0D59-E4FA-496D-8110-B1826BED8344
Q29650223,Timothy Masiu,Q114496191,Minister for Communication and ICT,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q29650223-DF5BEA0D-A618-43EF-9667-BEB1B2270992
Q35498105,Walter Schnaubelt,Q114496198,Minister for Forestry,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q35498105-32D3004B-A66D-4C33-ACA0-B60FFE9B3E7F
Q56043281,Bryan Jared Kramer,Q114496204,Minister for Justice,2020-12-21,2022-04-12,,Q56043281-33408465-CA3F-407F-A0FE-90FC3523AEFA
Q5959129,Ian Ling-Stuckey,Q114496220,Minister for Treasury,2019-08-27,,,Q5959129-E19839B5-E202-4289-ADF1-6EE25CA58420
Q6138903,James Marape,Q1074656,Prime Minister,2019-05-30,,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q6138903-8e228149-4c42-c08a-d156-2ed02f320415
Q6138903,James Marape,Q114496187,Minister for Bougainville Affairs,2020-12-20,2022-06-11,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q6138903-F51EBA6B-C3EA-42EA-AA72-BDFC9FE28BC3
Q64495984,Pila Niningi,Q114496203,Minister for Inter-Government Relations,2019-06-07,,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q64495984-03911A42-9415-4022-81A8-479457A60530
Q64747295,Soroi Eoe,Q20716378,Minister for Foreign Affairs and Trade,2020-12-20,2022-08-23,https://en.wikipedia.org/wiki/Cabinet_of_Papua_New_Guinea,Q64747295-16CE0F1C-7668-4518-BD2D-CE656BDBFC77
