item,itemLabel,position,positionLabel,startDate,endDate
Q6138903,James Marape,,Premier ministre,,
Q6138903,James Marape,,Ministre de la Planification nationale,,
,John Rosso,,Vice-Premier ministre,,
,John Rosso,,Ministre des Terres et de l'Aménagement du territoire,,
Q93348468,William Duma,,Ministre des Entreprises publiques,,
Q5959129,Ian Ling-Stuckey,,Ministre du Trésor public,,
Q64747295,Soroi Eoe,,Ministre des Relations avec les autorités provinciales et locales,,
Q96054319,Rainbo Paita,,Ministre des Finances,,
,Richard Maru,,Ministre du Commerce international et des investissements étrangers,,
Q85991458,Justin Tkatchenko,,Ministre des Affaires étrangères,,
Q1239419,Don Polye,,Ministre de l'enseignement supérieur,,
Q1239419,Don Polye,,Ministre de la Recherche,,
Q1239419,Don Polye,,Ministre des Sciences et des Technologies,,
Q1239419,Don Polye,,Ministre des Sports,,
Q96059149,Solan Mirisim,,Ministre des Travaux publics et de l'Autoroute,,
Q64495984,Pila Niningi,,Ministre de la Justice et Procureur général,,
Q35498105,Walter Schnaubelt,,Ministre des Transports et de l'Aviation civile,,
Q113838856,Kerenga Kua,,Ministre du Pétrole et de l'Énergie,,
Q89995729,Jimmy Uguro,,Ministre de l'Éducation,,
Q90144728,Joe Sungi,,Ministre du Service public,,
,Salio Waipo,,Ministre de la Foresterie,,
,Henry Amuli,,Ministre du Commerce et des Industries,,
,Peter Tsiamalili,,Ministre de la Sécurité intérieure,,
,Lino Tom,,Ministre de la Santé,,
,Kobby Bomareo,,Ministre du Logement,,
,Jason Peter,,Ministre du Développement local,,
,Jason Peter,,Ministre des Cultes,,
,Jason Peter,,Ministre de la Jeunesse,,
Q29650223,Timothy Masiu,,Ministre des Technologies de l'information et de la communication,,
Q89992188,Jelta Wong,,Ministre des Pêcheries et des Ressources maritimes,,
Q96655331,Win Daki,,Ministre de la Défense,,
Q89921206,Isi Henry Leonard,,"Ministre du Tourisme, des Arts et de la Culture",,
Q113833332,Aiye Tambua,,Ministre de l'Agriculture,,
Q86450088,Sekie Agisa,,Ministre de l'Élevage,,
Q89817169,Francis Maneke,,Ministre de l'Huile de palme,,
Q90126334,Joe Kuli,,Ministre du Café,,
Q56043281,Bryan Kramer,,Ministre du Travail et de l'Immigration,,
,Ano Pala,,Ministre des Mines,,
,Simon Kilepa,,"Ministre de l'Environnement, du Patrimoine naturel et du Réchauffement climatique",,
,en attente,,Ministre des Affaires de Bougainville,,
