position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q28841847,Member of the Privy Council of the United Kingdom,,United Kingdom,5,Q2007264
Q877955,deputy prime minister,,<noval>,2,Q2117670
Q108281400,"Secretary General of the Organisation of African, Caribbean and Pacific States",,,1,Q6242479
Q121998,ambassador,,,1,Q466818
Q7614320,finance minister,,<noval>,1,Q35553617
Q7330070,foreign minister,,<noval>,1,Q809205
Q30461,president,,,1,Q5763004
Q12339722,transport minister,,,1,Q1239419
