ordinal,item,itemLabel,inception,inceptionPrecision,abolished,abolishedPrecision,replaces,replacesLabel,replacedBy,replacedByLabel
,Q113575670,Third Marape Cabinet,2020-12-20,11,2022-06-11,11,,,Q114496361,Fourth Marape Cabinet
,Q114496361,Fourth Marape Cabinet,2022-06-11,11,,,Q113575670,Third Marape Cabinet,,
