item,itemLabel,startDate,endDate,sourceDate,psid
Q935472,Sir Silas Atopare,1997-11-20,2003-11-20,2022-08-22,Q935472-B343C502-23B8-4360-B258-A121DC411C7D
Q719336,Bill Skate,2003-11-21,2004-05-28,2022-08-22,Q719336-F3CF34D6-BD98-4B36-BC83-F551D8063896
Q1686476,Jeffery Nape,2004-05-28,2004-06-29,2022-08-22,Q1686476-D2F3E0C9-8925-4A8C-B91B-2EE471F123B3
Q471229,Sir Paulias Matane,2004-06-29,2010-12-13,2022-08-22,Q471229-08651A7A-ECDE-4599-A5F1-8C73E658204E
Q1686476,Jeffrey Nape,2010-12-13,2010-12-20,,Q1686476-55DC7814-941D-4DC6-A9CF-0D1331E4CDB1
Q561338,Sir Michael Ogio,2011-02-25,2017-02-18,2022-08-22,Q561338-CCDD6CBF-0136-40B9-8AA6-AA7B6692154B
Q5362021,Theo Zurenuoc,2017-02-18,2017-02-28,2022-08-22,Q5362021-C79D346B-C7E5-404A-B524-5A67EEE26DDF
Q28647870,Sir Bob Dadae,2017-02-28,,2022-08-22,Q28647870-33d4f98e-4663-1a01-d7a1-97a93270b435
