item,itemLabel,startDate,endDate,sourceDate,psid
Q1312080,John Momis,1999-12-09,2005-04-20,,Q1312080-B69AD563-C6C0-437C-86BC-37C000FB193E
Q1707366,Joseph Kabui,2005-06-15,2008-06-07,2022-08-22,Q1707366-986CBF16-988D-4D9F-95B0-AC645C276DE6
Q5763004,John Tabinaman,2008-06-07,2009-01-06,2022-08-22,Q5763004-F9A84F4D-156B-49C0-843E-B4DF4F93A09D
Q438696,James Tanis,2009-01-06,2010-06-10,,Q438696-B5E9DB40-833E-4F29-9AD9-C79622E955CE
Q1312080,John Momis,2010-06-10,2020-09-25,,Q1312080-9F8D1A09-811B-4152-90FA-6E971B4BFA8A
Q99525723,Ishmael Toroama,2020-09-25,,,Q99525723-791EA703-03F6-41D3-89C3-2413F37CB77E
