wanted,position,positionid,from,start,end
Q114496219,Minister for Transport and Infrastructure,Q114496219,Q28966596,2022-01,2022-05-11
Q64740152,Minister for Justice,Q114496204,Q56043281,2020-12-21,2022-04-12
Q64740152,Deputy Prime Minister,Q114496185,Q28966596,2020-10-01,2021-07
Q27975449,Minister of Finance,Q113575677,Q96054319,2019-11-08,2020-12-19
Q27975449,Minister for Treasury,Q114496220,Q28966596,2019-06-07,2019-08-27
Q92487179,Minister for Inter-Government Relations,Q114496203,Q64495984,2019-06-07,2022-04-13
Q109312249,Minister for Defence,Q114496194,Q96059149,2017-08,2019-04
Q57892,Minister of Finance,Q113575677,Q6138903,2012-08,2019-04-11
