wanted,position,positionid,from,start,end
Q87476701,Minister for Housing and Urban Development,Q114496201,Q85991458,2019-06-07,2022-06-11
Q64746863,Minister of Finance,Q113575677,Q28966596,2019-04-17,2019-05-13
Q90717210,Minister for Defence,Q114496194,Q96059149,2017-08,2019-04
Q28086377,Minister of Education,Q113575679,Q5362021,2011-08-08,2012-08-03
Q950406,Governor of New Ireland Province,Q114496233,Q5959129,2002,2007
Q113575729,President of Bougainville,Q7241305,Q1312080,1999-12-09,2005-04-20
