item,itemLabel,startDate,endDate,sourceDate,psid
Q1381425,Sir Mekere Morauta,1999-07-14,2002-08-05,2022-08-22,Q1381425-6B243B7C-0FA0-450F-9C35-4A5180093976
Q316264,Sir Michael Somare,2002-08-05,2011-08-02,2022-08-22,Q316264-F3F6F5A0-D263-4550-8869-1B7D87340B6D
Q58169,Sam Abal,2010-12-13,2011-01-17,2022-08-22,Q58169-357B10F2-29E9-4BDE-A05B-6445BA53322F
Q58169,Sam Abal,2011-04-04,2011-08-02,2022-08-22,Q58169-CD7EE8E3-F848-4AA9-9CC4-2DB97CED8F24
Q57892,Peter O'Neill,2011-08-02,2019-05-29,,Q57892-5b11f6d3-4d9b-da89-98c3-31e9522577a1
Q6138903,James Marape,2019-05-30,,,Q6138903-8e228149-4c42-c08a-d156-2ed02f320415
