item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q106730305,Johnson Tuke,Q114496207,Minister for Mining,2020-12-20,2022-08,,,Q106730305-6F371B39-2250-4C85-A780-C2F0046FA30F
Q107400069,Wesley Raminai,Q114496215,Minister for Science and Technology,2020-12-20,2022-08,,,Q107400069-252A0D15-8F9E-43F8-B0A9-CCE439DE9043
Q107400069,Wesley Raminai,Q114496200,Minister for Higher Education,2020-12-20,2022-08,,,Q107400069-4D86D59A-E2F4-4DBE-9B25-C32B1E082B1A
Q107400069,Wesley Raminai,Q114496216,Minister for Sports,2020-12-20,2022-08,500,,Q107400069-5019EB52-BF32-473B-9656-C0DFAA193DBF
Q107400069,Wesley Raminai,Q114496212,Minister for Research,2020-12-20,2022-08,,,Q107400069-52D7866E-711B-4A9B-A7D9-6112D770FE97
Q109045965,Tomait Kapili,Q114496205,Minister for Labour and Industrial Relations,2020-12-20,2022-08,500,,Q109045965-85E5BA7B-E943-492D-B4CA-00CD1B7F57AC
Q112729047,Henry Amuli,Q114496190,Minister for Commerce and Industry,2022-04,,,,Q112729047-707ed653-441c-0a8c-0a1a-b79e864f3945
Q113172045,Saki Soloma,Q114496195,Minister for Energy,2020-12-20,2022-08,,,Q113172045-31051A09-4AD8-462B-A316-D9ECD60B3BB5
Q113838856,Kerenga Kua,Q114496208,Minister for Petroleum,2020-12-20,,,,Q113838856-5DDAD20B-16A2-4690-ADDF-5434F7FB8C1E
Q113840416,Pogio Ghate,Q114496196,"Minister for Environment, Conservation and Climate Change",2022-04,2022-08,,,Q113840416-4CFB97FA-D18B-4DE5-8F46-59C0498A2598
Q17318841,Sir John Pundari,Q113575677,Minister for Finance and Rural Development,2020-12-20,2022-08,500,,Q17318841-3D900A78-983D-4FD9-883A-CA83646EC2F2
Q17318841,John Pundari,Q114496214,Minister for Rural Development,2020-12-20,2022-08,,,Q17318841-82B39955-60AA-49EC-A65F-92B26F162B7F
Q28966596,Samuel Basil,Q114496185,Deputy Prime Minister of Papua New Guinea,2022-01,2022-05-11,,,Q28966596-36d31713-45f4-3275-a232-5a849aee2ab5
Q28966596,Samuel Basil,Q114496219,Minister for Transport and Infrastructure,2022-01,2022-05-11,,,Q28966596-b225d0e4-4c0d-afbe-639a-125c243a17e9
Q29650223,Timothy Masiu,Q114496191,Minister for Communication and Information Technology,2020-12-20,,500,,Q29650223-DF5BEA0D-A618-43EF-9667-BEB1B2270992
Q35498105,Walter Schnaubelt,Q114496189,Minister for Civil Aviation,2022-01,,,,Q35498105-CB08C4E3-F50C-4EDA-95C4-7CEEB90A4168
Q56043281,Bryan Kramer,Q114496202,Minister for Immigration and Border Security,2022-04,,500,,Q56043281-A95D3152-DEA4-440B-AA20-AD241DBECAF7
Q5959129,Ian Ling-Stuckey,Q114496220,Minister for Treasury,2019-08-27,,,,Q5959129-E19839B5-E202-4289-ADF1-6EE25CA58420
Q6138903,James Marape,Q1074656,Prime Minister,2019-05-30,,500,,Q6138903-8e228149-4c42-c08a-d156-2ed02f320415
Q6138903,James Marape,Q114496187,Minister for Bougainville Affairs,2020-12-20,2022-08,,,Q6138903-F51EBA6B-C3EA-42EA-AA72-BDFC9FE28BC3
Q64495984,Pila Niningi,Q114496204,Minister for Justice,2022-04-13,,500,,Q64495984-256aca74-4e82-4b44-88e5-c9b9ebebdaed
Q64747295,Soroi Eoe,Q20716378,Minister for Foreign Affairs and International Trade,2020-12-20,2022-08-23,500,,Q64747295-16CE0F1C-7668-4518-BD2D-CE656BDBFC77
Q6833018,Michael Nali,Q114496221,Minister for Works and Implementation,2020-12-20,2022-08,,,Q6833018-4A9BEFE6-9A52-41E6-8E30-23EE08255664
Q7960737,Wake Goi,Q114496211,Minister for Religion,2020-12-20,2022-08,,,Q7960737-11595736-BF5D-4BCF-BF57-7E06E860F545
Q7960737,Wake Goi,Q114496222,Minister for Youth,2020-12-20,2022-08,,,Q7960737-2E1F93FD-A501-46AE-894C-6E8A89E43D99
Q7960737,Wake Goi,Q114496192,Minister for Community Development,2020-12-20,2022-08,,,Q7960737-84FCE2E6-72DF-472B-A3F9-3C3C067AFC63
Q80070005,John Rosso,Q114496185,Deputy Prime Minister,2022-05-25,,500,,Q80070005-5A815EE3-4E26-4583-B8C2-D550CE14AA33
Q80070005,John Rosso,Q114496206,Minister for Lands and Physical Planning,2020-12-20,,,,Q80070005-7E009C76-B8E4-435D-ABDB-C4E98CC7ED97
Q85991458,Justin Tkatchenko,Q114496201,Minister for Housing and Urban Development,2019-06-07,2022-06-11,500,,Q85991458-3e991a21-4173-6c81-439c-7ca7339cdca2
Q86450088,Sekie Agisa,Q114496193,Minister for Correctional Service,2022-01,2022-08,500,,Q86450088-5B44320A-EA2C-4B97-8046-3457866328A1
Q89782078,Dr Lino Tom,Q114496197,Minister for Fisheries and Marine Resources,2020-12-20,2022-08,500,,Q89782078-70114DF7-3620-4019-B2EE-6EABA37DBA3C
Q89911048,John Simon,Q114496186,Minister for Agriculture and Livestock,2020-12-20,2022-08,,,Q89911048-46D129AD-7534-4F6D-B329-C3E750BCD5DE
Q89921206,Isi Henry Leonard,Q114496218,"Minister for Tourism, Arts and Culture",2020-12-20,,,,Q89921206-DFD7FD27-A5C5-4EA1-9155-DD52F8E8873A
Q89992188,Jelta Wong,Q114496199,Minister for Health and HIV/AIDS,2020-12-20,2022-08,,,Q89992188-24633F4B-B65D-462A-A121-3016F29D22D5
Q89995729,Jimmy Uguro,Q113575679,Minister for Education,2020-12-20,,500,,Q89995729-E76903BF-CC6C-4862-85BF-41DF197A9F6F
